IgnitionType,Mapcode,Suppress_Category_0,FWI_Break_1,Suppress_Category_1,FWI_Break_2,Suppress_Category_2
Accidental,0,0,30,0,45,0
Accidental,1,6,30,12,45,20
Accidental,2,12,30,24,45,35
Accidental,3,18,30,30,45,50
Lightning,0,0,30,0,45,0
Lightning,1,3,30,6,45,12
Lightning,2,6,30,12,45,18
Lightning,3,9,30,18,45,24
Rx,0,0,30,0,45,0
Rx,1,0,30,0,45,0
Rx,2,0,30,0,45,0
Rx,3,0,30,0,45,0
